"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"via";10;"via";;;
2;"P102";"18560";1;"CONN_01X02";;;
3;"IC201";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-M";;;
4;"P101";"USB_Micro-B";1;"USB_OTG";;;
5;"C101,C102,C301,C401";"SMD_0603";4;"10u";;;
6;"C201,C202,C203,C204,C205";"SMD_0603";5;"C";;;
7;"C302";"SMD_0603";1;"10uF";;;
8;"C303";"SMD_0603";1;"2nF";;;
9;"C304";"SMD_0603";1;"47uF";;;
10;"C402,C403";"SMD_0603";2;"22p";;;
11;"D101";"SMD_0606";1;"RGB_LED";;;
12;"D301";"DO-214AC";1;"D";;;
13;"IC401";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"CH340G";;;
14;"J101,J102";"Jumper";2;"jumper";;;
15;"L301";"7x7_Inductor";1;"3.3uH";;;
16;"P103";"JST-2mm_4Pin";1;"CONN_01X04";;;
17;"P222";"SM_3_WIRE";1;"CONN_01X03";;;
18;"R101,R102,R103";"SMD_0603";3;"1k";;;
19;"R201";"SMD_0603";1;"R";;;
20;"R301";"SMD_0603";1;"2k";;;
21;"U301";"ESOP-8";1;"FM6316FE";;;
22;"x201,x401";"SM_3225";2;"xtal_osc";;;
23;"U101";"SOT-23";1;"XC6206";;;
24;"SW201";"Button";1;"SW_PUSH";;;
25;"P207,P224,P223,P221,P220,P219,P218,P217,P216,P215,P214,P213,P212,P211,P210,P209,P206,P205,P204,P203,P202,P201,P208";"1Pin_big";23;"CONNECTOR";;;
